Abkhazia	240,705
Afghanistan	26,023,100
Albania	2,893,005
Algeria	39,500,000
American Samoa	55,519
Andorra	76,949
Angola	24,383,301
Anguilla	13,452
Antigua and Barbuda	86,295
Argentina	43,131,966
Armenia	3,004,000
Aruba	107,394
Australia	23,973,200
Austria	8,623,073
Azerbaijan	9,676,500
Bahrain	1,359,800
Bangladesh	159,432,000
Barbados	285
Belarus	9,494,200
Belgium	11,280,134
Belize	368,31
Benin	10,315,244
Bermuda	64,237
Bhutan	767,48
Bolivia	11,410,651
Bosnia and Herzegovina	3,791,622
Botswana	2,070,984
Brazil	205,247,000
British Virgin Islands	28,054
Brunei	393,372
Bulgaria	7,202,198
Burkina Faso	18,450,494
Burundi	9,823,827
Cambodia	15,405,157
Cameroon	23,344,000
Canada	35,851,774
Cape Verde	524,833
Cayman Islands (UK)	58,238
Central African Republic	4,900,000
Ceuta	82,376
Chad	14,037,000
Chile	18,006,407
China]	1,373,400,000
Christmas Island	2,072
Cocos Islands	550
Colombia	48,410,400
Comoros	784,745
Cook Islands	14,974
Costa Rica	4,773,130
Croatia	4,225,316
Cuba	11,238,317
Curaçao	154,843
Cyprus	858
Czech Republic	10,541,466
Democratic Republic of the Congo	77,267,000
Denmark	5,699,220
Djibouti	888
Dominica	71,293
Dominican Republic	10,528,000
East Timor	1,212,107
Ecuador	16,278,844
Egypt	89,920,700
El Salvador	6,401,240
Equatorial Guinea	1,222,442
Eritrea	5,228,000
Estonia	1,313,271
Ethiopia	90,076,012
Falkland Islands	3
Faroe Islands	49,179
Federated States of Micronesia	101,351
Fiji	859,178
Finland	5,493,036
France	67,107,000
French Guiana	239,648
French Polynesia	268,27
French Southern and Antarctic Lands	140
Gabon	1,802,278
Georgia	3,729,500
Germany	81,197,500
Ghana	27,043,093
Gibraltar	32,734
Greece	10,846,979
Greenland	56,114
Grenada	103,328
Guadeloupe	403,75
Guam	159,358
Guatemala	16,176,133
Guernsey	65,15
Guinea	10,628,972
Guinea-Bissau	1,844,000
Guyana	746,9
Haiti	10,911,819
Honduras	8,576,532
Hong Kong	7,298,600
Hungary	9,849,000
Iceland	331,31
India	1,280,620,000
Indonesia	255,461,700
Iran	78,815,400
